"","ISO","year","best","armconf1"
"1554","IRQ",2013,0,0
"1555","IRQ",2014,106,1
"1556","IRQ",2015,1,1
"1557","IRQ",2016,1,1
"1558","IRQ",2017,15,1
"1559","IRQ",2018,12,1
"1560","IRQ",2019,NA,NA
"1561","IRL",2000,NA,NA
"1562","IRL",2001,NA,NA
"1563","IRL",2002,NA,NA
"1564","IRL",2003,NA,NA
"1565","IRL",2004,NA,NA
"1566","IRL",2005,NA,NA
"1567","IRL",2006,NA,NA
"1568","IRL",2007,NA,NA
"1569","IRL",2008,NA,NA
"1570","IRL",2009,NA,NA
"1571","IRL",2010,NA,NA
"1572","IRL",2011,NA,NA
"1573","IRL",2012,NA,NA
"1574","IRL",2013,NA,NA
"1575","IRL",2014,NA,NA
"1576","IRL",2015,NA,NA
"1577","IRL",2016,NA,NA
"1578","IRL",2017,NA,NA
"1579","IRL",2018,NA,NA
"1580","IRL",2019,NA,NA
"1581","ITA",2000,NA,NA
"1582","ITA",2001,NA,NA
"1583","ITA",2002,NA,NA
"1584","ITA",2003,NA,NA
"1585","ITA",2004,NA,NA
"1586","ITA",2005,NA,NA
"1587","ITA",2006,NA,NA
"1588","ITA",2007,NA,NA
"1589","ITA",2008,NA,NA
"1590","ITA",2009,NA,NA
"1591","ITA",2010,NA,NA
"1592","ITA",2011,NA,NA
"1593","ITA",2012,NA,NA
"1594","ITA",2013,NA,NA
"1595","ITA",2014,NA,NA
"1596","ITA",2015,NA,NA
"1597","ITA",2016,NA,NA
"1598","ITA",2017,NA,NA
"1599","ITA",2018,NA,NA
"1600","ITA",2019,NA,NA
"1601","JAM",2000,NA,NA
"1602","JAM",2001,3,1
"1603","JAM",2002,3,1
"1604","JAM",2003,7,1
"1605","JAM",2004,NA,NA
"1606","JAM",2005,NA,NA
"1607","JAM",2006,NA,NA
"1608","JAM",2007,NA,NA
"1609","JAM",2008,NA,NA
"1610","JAM",2009,NA,NA
"1611","JAM",2010,NA,NA
"1612","JAM",2011,NA,NA
"1613","JAM",2012,NA,NA
"1614","JAM",2013,NA,NA
"1615","JAM",2014,NA,NA
"1616","JAM",2015,NA,NA
"1617","JAM",2016,NA,NA
"1618","JAM",2017,NA,NA
"1619","JAM",2018,NA,NA
"1620","JAM",2019,NA,NA
"1621","JPN",2000,NA,NA
"1622","JPN",2001,NA,NA
"1623","JPN",2002,NA,NA
"1624","JPN",2003,NA,NA
"1625","JPN",2004,NA,NA
"1626","JPN",2005,NA,NA
"1627","JPN",2006,NA,NA
"1628","JPN",2007,NA,NA
"1629","JPN",2008,NA,NA
"1630","JPN",2009,NA,NA
"1631","JPN",2010,NA,NA
"1632","JPN",2011,NA,NA
"1633","JPN",2012,NA,NA
"1634","JPN",2013,NA,NA
"1635","JPN",2014,NA,NA
"1636","JPN",2015,NA,NA
"1637","JPN",2016,NA,NA
"1638","JPN",2017,NA,NA
"1639","JPN",2018,NA,NA
"1640","JPN",2019,NA,NA
"1641","JOR",2000,NA,NA
"1642","JOR",2001,NA,NA
"1643","JOR",2002,NA,NA
"1644","JOR",2003,NA,NA
"1645","JOR",2004,NA,NA
"1646","JOR",2005,59,1
"1647","JOR",2006,NA,NA
"1648","JOR",2007,NA,NA
"1649","JOR",2008,NA,NA
"1650","JOR",2009,NA,NA
"1651","JOR",2010,NA,NA
"1652","JOR",2011,NA,NA
"1653","JOR",2012,NA,NA
"1654","JOR",2013,NA,NA
"1655","JOR",2014,NA,NA
"1656","JOR",2015,1,1
"1657","JOR",2016,3,1
"1658","JOR",2017,NA,NA
"1659","JOR",2018,NA,NA
"1660","JOR",2019,NA,NA
"1661","KAZ",2000,NA,NA
"1662","KAZ",2001,NA,NA
"1663","KAZ",2002,NA,NA
"1664","KAZ",2003,NA,NA
"1665","KAZ",2004,NA,NA
"1666","KAZ",2005,NA,NA
"1667","KAZ",2006,NA,NA
"1668","KAZ",2007,NA,NA
"1669","KAZ",2008,NA,NA
"1670","KAZ",2009,NA,NA
"1671","KAZ",2010,NA,NA
"1672","KAZ",2011,NA,NA
"1673","KAZ",2012,NA,NA
"1674","KAZ",2013,NA,NA
"1675","KAZ",2014,NA,NA
"1676","KAZ",2015,NA,NA
"1677","KAZ",2016,NA,NA
"1678","KAZ",2017,NA,NA
"1679","KAZ",2018,NA,NA
"1680","KAZ",2019,NA,NA
"1681","KEN",2000,1,1
"1682","KEN",2001,10,1
"1683","KEN",2002,13,1
"1684","KEN",2003,4,1
"1685","KEN",2004,2,1
"1686","KEN",2005,0,0
"1687","KEN",2006,0,0
"1688","KEN",2007,1,1
"1689","KEN",2008,0,0
"1690","KEN",2009,1,1
"1691","KEN",2010,1,1
"1692","KEN",2011,1,1
"1693","KEN",2012,3,1
"1694","KEN",2013,2,1
"1695","KEN",2014,4,1
"1696","KEN",2015,6,1
"1697","KEN",2016,1,1
"1698","KEN",2017,2,1
"1699","KEN",2018,1,1
"1700","KEN",2019,NA,NA
"1701","KIR",2000,NA,NA
"1702","KIR",2001,NA,NA
"1703","KIR",2002,NA,NA
"1704","KIR",2003,NA,NA
"1705","KIR",2004,NA,NA
"1706","KIR",2005,NA,NA
"1707","KIR",2006,NA,NA
"1708","KIR",2007,NA,NA
"1709","KIR",2008,NA,NA
"1710","KIR",2009,NA,NA
"1711","KIR",2010,NA,NA
"1712","KIR",2011,NA,NA
"1713","KIR",2012,NA,NA
"1714","KIR",2013,NA,NA
"1715","KIR",2014,NA,NA
"1716","KIR",2015,NA,NA
"1717","KIR",2016,NA,NA
"1718","KIR",2017,NA,NA
"1719","KIR",2018,NA,NA
"1720","KIR",2019,NA,NA
"1721","KWT",2000,NA,NA
"1722","KWT",2001,NA,NA
"1723","KWT",2002,NA,NA
"1724","KWT",2003,NA,NA
"1725","KWT",2004,NA,NA
"1726","KWT",2005,NA,NA
"1727","KWT",2006,NA,NA
"1728","KWT",2007,NA,NA
"1729","KWT",2008,NA,NA
"1730","KWT",2009,NA,NA
"1731","KWT",2010,NA,NA
"1732","KWT",2011,NA,NA
"1733","KWT",2012,NA,NA
"1734","KWT",2013,NA,NA
"1735","KWT",2014,NA,NA
"1736","KWT",2015,26,1
"1737","KWT",2016,NA,NA
"1738","KWT",2017,NA,NA
"1739","KWT",2018,NA,NA
"1740","KWT",2019,NA,NA
"1741","KGZ",2000,2,1
"1742","KGZ",2001,NA,NA
"1743","KGZ",2002,NA,NA
"1744","KGZ",2003,NA,NA
"1745","KGZ",2004,NA,NA
"1746","KGZ",2005,NA,NA
"1747","KGZ",2006,1,1
"1748","KGZ",2007,NA,NA
"1749","KGZ",2008,NA,NA
"1750","KGZ",2009,NA,NA
"1751","KGZ",2010,0,0
"1752","KGZ",2011,NA,NA
"1753","KGZ",2012,NA,NA
"1754","KGZ",2013,NA,NA
"1755","KGZ",2014,NA,NA
"1756","KGZ",2015,1,1
"1757","KGZ",2016,NA,NA
"1758","KGZ",2017,NA,NA
"1759","KGZ",2018,NA,NA
"1760","KGZ",2019,NA,NA
"1761","LAO",2000,5,1
"1762","LAO",2001,NA,NA
"1763","LAO",2002,2,1
"1764","LAO",2003,2,1
"1765","LAO",2004,2,1
"1766","LAO",2005,NA,NA
"1767","LAO",2006,26,1
"1768","LAO",2007,NA,NA
"1769","LAO",2008,NA,NA
"1770","LAO",2009,NA,NA
"1771","LAO",2010,NA,NA
"1772","LAO",2011,NA,NA
"1773","LAO",2012,NA,NA
"1774","LAO",2013,NA,NA
"1775","LAO",2014,NA,NA
"1776","LAO",2015,NA,NA
"1777","LAO",2016,NA,NA
"1778","LAO",2017,NA,NA
"1779","LAO",2018,NA,NA
"1780","LAO",2019,NA,NA
"1781","LVA",2000,NA,NA
"1782","LVA",2001,NA,NA
"1783","LVA",2002,NA,NA
"1784","LVA",2003,NA,NA
"1785","LVA",2004,NA,NA
"1786","LVA",2005,NA,NA
"1787","LVA",2006,NA,NA
"1788","LVA",2007,NA,NA
"1789","LVA",2008,NA,NA
"1790","LVA",2009,NA,NA
"1791","LVA",2010,NA,NA
"1792","LVA",2011,NA,NA
"1793","LVA",2012,NA,NA
"1794","LVA",2013,NA,NA
"1795","LVA",2014,NA,NA
"1796","LVA",2015,NA,NA
"1797","LVA",2016,NA,NA
"1798","LVA",2017,NA,NA
"1799","LVA",2018,NA,NA
"1800","LVA",2019,NA,NA
"1801","LBN",2000,4,1
"1802","LBN",2001,2,1
"1803","LBN",2002,0,0
"1804","LBN",2003,1,1
"1805","LBN",2004,NA,NA
"1806","LBN",2005,1,1
"1807","LBN",2006,2,1
"1808","LBN",2007,NA,NA
"1809","LBN",2008,3,1
"1810","LBN",2009,NA,NA
"1811","LBN",2010,NA,NA
"1812","LBN",2011,1,1
"1813","LBN",2012,1,1
"1814","LBN",2013,1,1
"1815","LBN",2014,1,1
"1816","LBN",2015,2,1
"1817","LBN",2016,5,1
"1818","LBN",2017,4,1
"1819","LBN",2018,2,1
"1820","LBN",2019,NA,NA
"1821","LSO",2000,NA,NA
"1822","LSO",2001,NA,NA
"1823","LSO",2002,NA,NA
"1824","LSO",2003,NA,NA
"1825","LSO",2004,NA,NA
"1826","LSO",2005,NA,NA
"1827","LSO",2006,NA,NA
"1828","LSO",2007,NA,NA
"1829","LSO",2008,NA,NA
"1830","LSO",2009,NA,NA
"1831","LSO",2010,NA,NA
"1832","LSO",2011,NA,NA
"1833","LSO",2012,NA,NA
"1834","LSO",2013,NA,NA
"1835","LSO",2014,NA,NA
"1836","LSO",2015,NA,NA
"1837","LSO",2016,NA,NA
"1838","LSO",2017,NA,NA
"1839","LSO",2018,NA,NA
"1840","LSO",2019,NA,NA
"1841","LBR",2000,42,1
"1842","LBR",2001,0,0
"1843","LBR",2002,2,1
"1844","LBR",2003,3,1
"1845","LBR",2004,NA,NA
"1846","LBR",2005,NA,NA
"1847","LBR",2006,NA,NA
"1848","LBR",2007,NA,NA
"1849","LBR",2008,NA,NA
"1850","LBR",2009,NA,NA
"1851","LBR",2010,NA,NA
"1852","LBR",2011,NA,NA
"1853","LBR",2012,NA,NA
"1854","LBR",2013,NA,NA
"1855","LBR",2014,NA,NA
"1856","LBR",2015,NA,NA
"1857","LBR",2016,NA,NA
"1858","LBR",2017,NA,NA
"1859","LBR",2018,NA,NA
"1860","LBR",2019,NA,NA
"1861","LBY",2000,NA,NA
"1862","LBY",2001,NA,NA
"1863","LBY",2002,NA,NA
"1864","LBY",2003,NA,NA
"1865","LBY",2004,NA,NA
"1866","LBY",2005,NA,NA
"1867","LBY",2006,NA,NA
"1868","LBY",2007,NA,NA
"1869","LBY",2008,6,1
"1870","LBY",2009,NA,NA
"1871","LBY",2010,NA,NA
"1872","LBY",2011,1,1
"1873","LBY",2012,3,1
"1874","LBY",2013,2,1
"1875","LBY",2014,3,1
"1876","LBY",2015,1,1
"1877","LBY",2016,49,1
"1878","LBY",2017,1,1
"1879","LBY",2018,2,1
"1880","LBY",2019,NA,NA
"1881","LTU",2000,NA,NA
"1882","LTU",2001,NA,NA
"1883","LTU",2002,NA,NA
"1884","LTU",2003,NA,NA
"1885","LTU",2004,NA,NA
"1886","LTU",2005,NA,NA
"1887","LTU",2006,NA,NA
"1888","LTU",2007,NA,NA
"1889","LTU",2008,NA,NA
